ID, DateTimeUTC, TapType, StopId, CompanyId, BusID, PAN
1, 22-01-2023 13:00:00, ON, Stop1, Company1, Bus37, 5500005555555559
2, 22-01-2023 13:05:00, OFF, Stop2, Company1, Bus37, 5500005555555559
3, 22-01-2023 13:06:00, ON, Stop1, Company1, Bus37, 5500005555555559
4, 22-01-2023 13:16:00, OFF, Stop3, Company1, Bus37, 5500005555555559
5, 22-01-2023 13:06:00, ON, Stop3, Company1, Bus37, 4444333322221111
6, 22-01-2023 13:16:00, OFF, Stop1, Company1, Bus37, 4444333322221111
7, 22-01-2023 13:16:20, ON, Stop1, Company1, Bus37, 4444333322221111
8, 22-01-2023 13:20:20, ON, Stop2, Company1, Bus37, 4444333322221111
9, 22-01-2023 13:20:21, OFF, Stop2, Company1, Bus37, 4444333322221111
10, 22-01-2023 13:30:00, ON, Stop2, Company1, Bus37, 5500005555555559
11, 22-01-2023 13:35:00, OFF, Stop3, Company1, Bus37, 5500005555555559
12, 22-01-2023 13:36:20, ON, Stop2, Company1, Bus37, 4444333322221111
13, 22-01-2023 13:46:20, ON, Stop3, Company1, Bus37, 4444333322221111
14, 22-01-2023 13:50:00, ON, Stop2, Company1, Bus37, 5500005555555559
15, 22-01-2023 13:56:00, ON, Stop2, Company1, Bus37, 5500005555555559
16, 22-01-2023 13:58:00, OFF, Stop3, Company1, Bus37, 5500005555555559
